institution,url
Virginia Commonwealth University,https://rar.vcu.edu/flexiblegradeoption/
University of Colorado Boulder,https://www.colorado.edu/today/2020/03/26/provost-moore-passfail-restrictions-lifted-spring-2020-semester
Worcester State University,https://www.worcester.edu/Public-Health-Information/
Birmingham Southern College,https://www.bsc.edu/coronavirus.html
University of North Alabama,"https://www.una.edu/university-communications/campus-update-from-provost-ross-alexander---april-2,-2020.html"
Lincoln University,https://www.lincoln.edu/departments/registrar
Benedict College,
Biola University,https://chimesnewspaper.com/47941/news/biola-grants-credit-no-credit-option-for-spring-2020-grades/
Centenary College of Louisiana,https://www.centenary.edu/directories/offices-services-directory/public-safety/covid-19-information/academic-changes/
Illinois College,https://uofi.app.box.com/s/d8xes83zvzqt130ayysbj0aq6tw7kyqg
University of Alaska Anchorage,https://www.uaa.alaska.edu/news/archive/2020/03/withdrawal-deadline-grading-options.cshtml
University of Illinois at Chicago,https://provost.uic.edu/news-stories/spring-2020-undergraduate-grading-policy/
East Carolina University,https://news.ecu.edu/2020/03/23/emergency-grading-accommodation-for-spring-2020/
Rutgers University-New Brunswick,https://nbprovost.rutgers.edu/grade-change-academic-deadlines
Wilkes University,
Waynesburg University,https://www.waynesburg.edu/coronavirus-disease-2019-covid-19
Wittenberg University,https://www.wittenberg.edu/administration/healthwellness/covid-19-academics-faqs
Moravian College,https://www.moravian.edu/academic-advising/all-students
East Texas Baptist University,https://www.etbu.edu/etbu-now/coronavirus-covid-19-information
Taylor University,
Hannibal-LaGrange University,
Saint Edward's University,
Saint Xavier University,
University of Central Oklahoma,
California State University-Dominguez Hills,https://www.csudh.edu/uac/covid-19-spring-2020-grading/
North Carolina State University at Raleigh,https://www.cbs17.com/news/local-news/wake-county-news/amid-coronavirus-outbreak-students-at-nc-state-allowed-to-make-all-classes-pass-fail/
Carnegie Mellon University,
Xavier University,
Stonehill College,https://www.stonehill.edu/news/emergencies/updates/coronavirus/for-students-and-parents/
Claremont McKenna College,
University of Saint Francis-Fort Wayne,
Franklin College,https://franklincollege.edu/coronavirus/
Peirce College,
Holy Cross College,
Marian University,https://my.marianuniversity.edu/OfficesAndServices/registrar/Documents/COVID-19%20S-U%20Grading%20Information/Satisfactory%20-%20Unsatisfactory%20form.pdf
Yeshiva University,
Notre Dame of Maryland University,
College of Our Lady of the Elms,
Morehouse College,
Loyola University New Orleans,
Portland State University,
Iona College,
Salem State University,
Saint Michael's College,
Woodbury University,
Brandman University,
Tufts University,https://students.tufts.edu/academic-advice-and-support/academic-advising/academic-policy-exceptions-undergraduate-students-spring-and-summer-2020
Whitworth University-Adult Degree Programs,https://www.whitworth.edu/cms/administration/health-and-counseling-services/health-center/coronavirus-information/significant-operational-changes-march-16-2020/
Kent State University at Kent,https://www.kent.edu/coronavirus/grading
Roberts Wesleyan College,https://www.roberts.edu/covid-19/
DeSales University,https://www.desales.edu/inside-desales/emergency-updates/covid-19-undergrad-academics
Thiel College,https://www.thiel.edu/campus_life/coronavirus-updates
MacMurray College,https://www.mac.edu/covid-19
Bethel University,https://www.bethel.edu/registrar/grades/
Coker College,https://www.coker.edu/offices-services/campus-safety/alerts/
Susquehanna University,https://www.susqu.edu/emergency/coronavirus-update/student-covid-19-faq
Colgate University,https://www.colgate.edu/about/offices-centers-institutes/provost-and-dean-faculty/registrars-office/spring-2020-registrar
Rutgers University-Newark,https://gse.rutgers.edu/content/passno-credit-grading-option-students-spring-2020-semester
University of Indianapolis,https://uindy.edu/coronavirus/files/alternative-grading-option-policy-and-process-201920.pdf
Mercyhurst University,https://www.mercyhurst.edu/sites/default/files/modified_grading_option_spring_2020_fnl.pdf
Williams College,https://registrar.williams.edu/reminders/spring-20-universal-pass-fail-for-undergraduates/
Dordt College,https://www.dordt.edu/student-life/student-health-and-counseling-center/covid-19
University of Pikeville,https://www.upike.edu/coronavirus/
Colby-Sawyer College,https://colby-sawyer.edu/coronavirus/faq
Roger Williams University,https://www.rwu.edu/node/192881/roger-williams-university-spring-2020-semester-covid-19-passno-pass-policy
St. Joseph's College-Long Island,https://www.sjcny.edu/em/corona
Paul Quinn College,https://pqc-edu.squarespace.com/41620-update
University of Puerto Rico-Aguadilla,https://www.uprag.edu/comunicados-del-presidente/